bond_id,cusip,match_method,match_score,n_candidates,n_name_matches,finra_issuer_name,isin,nport_balance,nport_pctVal,Name,Par Value,par_ratio_nport_over_ishares
2751,36264FAN1,coupon_maturity_name,1.0,1,1,HALEON US CAPITAL LLC,US36264FAN15,7345000.0,0.019130282884,HALEON US CAPITAL LLC,7450000,0.9859060402684564
2752,91159HJY7,coupon_maturity_name,1.0,1,1,US BANCORP,US91159HJY71,5614000.0,0.018556180214,US BANCORP MTN,5730000,0.9797556719022688
2753,539830BQ1,coupon_maturity_name,1.0,1,1,LOCKHEED MARTIN CORP,US539830BQ10,6407000.0,0.013596553922,LOCKHEED MARTIN CORPORATION,9318000,0.6875939042713028
2754,67103HAP2,coupon_maturity_size,0.25,1,0,O'REILLY AUTOMOTIVE INC,US67103HAP29,6857000.0,0.022759832527,OREILLY AUTOMOTIVE INC,5752000,1.192107093184979
2755,363576AB5,coupon_maturity_name,1.0,1,1,ARTHUR J GALLAGHER & CO,US363576AB52,6111000.0,0.014141591107,ARTHUR J GALLAGHER & CO,8435000,0.7244813278008299
2756,49456BAR2,coupon_maturity_name,1.0,1,1,KINDER MORGAN INC,US49456BAR24,6394000.0,0.019040924302,KINDER MORGAN INC,6389000,1.0007825950853029
2757,962166BX1,coupon_maturity_name,1.0,1,1,WEYERHAEUSER CO,US962166BX19,7850000.0,0.02582284278,WEYERHAEUSER COMPANY,5786000,1.3567231247839613
2758,63111XAK7,coupon_maturity_name,1.0,1,1,NASDAQ INC,US63111XAK72,4935000.0,0.016892248787,NASDAQ INC,5658000,0.8722163308589608
2759,26441CCA1,coupon_maturity_name,1.0,1,1,DUKE ENERGY CORP,US26441CCA18,7078000.0,0.024128980836,DUKE ENERGY CORP,5648000,1.2531869688385269
2760,02665WFQ9,coupon_maturity_name,1.0,1,1,AMERICAN HONDA FINANCE,US02665WFQ96,5773000.0,0.019187963761,AMERICAN HONDA FINANCE CORPORATION MTN,5657000,1.0205055683224324
2761,863667BE0,coupon_maturity_name,1.0,1,1,STRYKER CORP,US863667BE08,8106000.0,0.027021810017,STRYKER CORPORATION,5650000,1.4346902654867257
2762,29379VBZ5,coupon_maturity_name,1.0,1,1,ENTERPRISE PRODUCTS OPER,US29379VBZ58,7088000.0,0.017513706982,ENTERPRISE PRODUCTS OPERATING LLC,7812000,0.9073220686123912
2763,756109DB7,coupon_maturity_name,1.0,1,1,REALTY INCOME CORP,US756109DB76,3355000.0,0.011121354895,REALTY INCOME CORPORATION,5713000,0.5872571328548923
2764,620076BU2,coupon_maturity_name,1.0,1,1,MOTOROLA SOLUTIONS INC,US620076BU23,6716000.0,0.020501121905,MOTOROLA SOLUTIONS INC,6250000,1.07456
2765,754730AK5,coupon_maturity_name,1.0,1,1,RAYMOND JAMES FINANCIAL,US754730AK54,7066000.0,0.022951053287,RAYMOND JAMES FINANCIAL INC.,5927000,1.192171418930319
2766,78081BAK9,coupon_maturity_name,1.0,1,1,ROYALTY PHARMA PLC,US78081BAK98,7650000.0,0.023218843298,ROYALTY PHARMA PLC,6239000,1.2261580381471389
2767,00206RKE1,coupon_maturity_name,1.0,1,1,AT&T INC,US00206RKE17,6898000.0,0.014828902067,AT&T INC,9076000,0.7600264433671221
2768,03769MAC0,coupon_maturity_name,1.0,1,1,APOLLO GLOBAL MANAGEMENT,US03769MAC01,5335000.0,0.017286567969,APOLLO GLOBAL MANAGEMENT INC,6027000,0.8851833416293347
2769,665772CX5,coupon_maturity_name,0.6,1,1,NORTHERN STATES PWR-MINN,US665772CX54,6718000.0,0.020627330287,NORTHERN STATES POWER COMPANY (MIN,6338000,1.0599558220258756
2770,03027XBC3,coupon_maturity_name,1.0,2,1,AMERICAN TOWER CORP,US03027XBC39,4864000.0,0.014784174409,AMERICAN TOWER CORPORATION,6271000,0.7756338701961409
2771,49177JAR3,coupon_maturity_name,1.0,1,1,KENVUE INC,US49177JAR32,8130000.0,0.024697195191,KENVUE INC,6335000,1.2833464877663772
2772,06417XAE1,coupon_maturity_name,1.0,1,1,BANK OF NOVA SCOTIA,US06417XAE13,8727000.0,0.02598706647,BANK OF NOVA SCOTIA MTN,6356000,1.3730333543108872
2773,539830BY4,coupon_maturity_name,1.0,1,1,LOCKHEED MARTIN CORP,US539830BY44,4568000.0,0.015757796358,LOCKHEED MARTIN CORPORATION,5624000,0.8122332859174964
2774,512807AV0,coupon_maturity_name,1.0,1,1,LAM RESEARCH CORP,US512807AV02,7037000.0,0.021420999422,LAM RESEARCH CORPORATION,6249000,1.1261001760281646
2775,717081FA6,coupon_maturity_name,1.0,1,1,PFIZER INC,US717081FA61,6649000.0,0.013839023505,PFIZER INC,9356000,0.7106669516887559
2776,202795JM3,coupon_maturity_name,1.0,2,1,COMMONWEALTH EDISON CO,US202795JM30,6508000.0,0.017137379209,COMMONWEALTH EDISON COMPANY,7256000,0.8969128996692393
2777,718546BA1,coupon_maturity_name,1.0,1,1,PHILLIPS 66,US718546BA13,7208000.0,0.015950797278,PHILLIPS 66,8665000,0.8318522792844778
2778,857477BP7,coupon_maturity_name,1.0,1,1,STATE STREET CORP,US857477BP72,5822000.0,0.017525559864,STATE STREET CORP,6284000,0.926479949077021
2779,91324PCQ3,coupon_maturity_name,1.0,1,1,UNITEDHEALTH GROUP INC,US91324PCQ37,8134000.0,0.026507342814,UNITEDHEALTH GROUP INC,5886000,1.381923207611281
2780,816851BJ7,coupon_maturity_name,1.0,1,1,SEMPRA,US816851BJ72,5804000.0,0.014808155333,SEMPRA,7469000,0.7770785915115812
2781,370334DB7,coupon_maturity_name,1.0,1,1,GENERAL MILLS INC,US370334DB73,5359000.0,0.017983111768,GENERAL MILLS INC,5539000,0.9675031594150568
2782,74432QCA1,coupon_maturity_name,1.0,1,1,PRUDENTIAL FINANCIAL INC,US74432QCA13,6933000.0,0.020276535279,PRUDENTIAL FINANCIAL INC MTN,6529000,1.0618777760759688
2783,22822VAY7,coupon_maturity_name,1.0,1,1,CROWN CASTLE INC,US22822VAY74,7699000.0,0.022998295122,CROWN CASTLE INC,6359000,1.2107249567542067
2784,478160CM4,coupon_maturity_name,1.0,1,1,JOHNSON & JOHNSON,US478160CM48,8661000.0,0.022095397321,JOHNSON & JOHNSON,7659000,1.1308264786525657
2785,871829BL0,coupon_maturity_name,1.0,1,1,SYSCO CORPORATION,US871829BL07,10655000.0,0.037150740177,SYSCO CORPORATION,5345000,1.9934518241347052
2786,694308HY6,coupon_maturity_name,1.0,1,1,PACIFIC GAS & ELECTRIC,US694308HY69,5740000.0,0.014169951888,PACIFIC GAS AND ELECTRIC CO,7810000,0.734955185659411
2787,44107TAZ9,coupon_maturity_name,1.0,1,1,HOST HOTELS & RESORTS LP,US44107TAZ93,6043000.0,0.019118663392,HOST HOTELS & RESORTS LP,5883000,1.0271970083290838
2788,16411RAQ2,coupon_maturity_name,1.0,1,1,CHENIERE ENERGY INC,US16411RAQ20,5767000.0,0.019289140542,CHENIERE ENERGY INC 144A,5647000,1.0212502213564725
2789,89236TMT9,coupon_maturity_name,1.0,1,1,TOYOTA MOTOR CREDIT CORP,US89236TMT96,5013000.0,0.016807599883,TOYOTA MOTOR CREDIT CORP MTN,5573000,0.8995155212632334
2790,036752AH6,coupon_maturity_name,1.0,1,1,ELEVANCE HEALTH INC,US036752AH62,4597000.0,0.01297526136,ELEVANCE HEALTH INC,6701000,0.686017012386211
2791,46590XAQ9,coupon_maturity_name,0.4,1,1,JBS NV/USA FOODS/FOOD CO,US46590XAQ97,6629000.0,0.016827412282,JBS USA LUX SA,7512000,0.8824547390841321
2792,91324PCX8,coupon_maturity_name,1.0,1,1,UNITEDHEALTH GROUP INC,US91324PCX87,8259000.0,0.022470403555,UNITEDHEALTH GROUP INC,7063000,1.1693331445561377
2793,38152BAQ4,coupon_maturity_name,0.6,1,1,GOLDMAN SACHS PRIVATE CR,US38152BAQ41,2960000.0,0.00988793341,GOLDMAN SACHS PRIVATE CREDIT CORP 144A,5525000,0.5357466063348416
2794,055451BK3,coupon_maturity_name,0.6666666666666666,1,1,BHP BILLITON FIN USA LTD,US055451BK37,4166000.0,0.014296651628,BHP BILLITON FINANCE (USA) LTD,5396000,0.7720533728687917
2795,26884LAR0,coupon_maturity_name,1.0,1,1,EQT CORP,US26884LAR06,6146000.0,0.021336759816,EQT CORP,5331000,1.1528793847308196
2796,532457BY3,coupon_maturity_name,1.0,1,1,ELI LILLY & CO,US532457BY33,11832000.0,0.022582683991,ELI LILLY AND COMPANY,10044000,1.1780167264038233
2797,051473AD8,coupon_maturity_name,0.6666666666666666,1,1,AUGUSTA SPINCO CORPORATI,US051473AD89,6912000.0,0.023054194126,AUGUSTA SPINCO CORP,5553000,1.2447325769854134
2798,59156RBN7,coupon_maturity_name,1.0,1,1,METLIFE INC,US59156RBN70,8013000.0,0.022043248243,METLIFE INC,6861000,1.1679055531263665
2799,743315AS2,coupon_maturity_name,1.0,1,1,PROGRESSIVE CORP,US743315AS29,5616000.0,0.015202954391,PROGRESSIVE CORPORATION (THE),6956000,0.8073605520414031
2800,00130HCM5,coupon_maturity_name,1.0,1,1,AES CORP/THE,US00130HCM51,5374000.0,0.018315350642,AES CORPORATION (THE),5374000,1.0
2801,209111FF5,coupon_maturity_name,0.6,1,1,CON EDISON CO OF NY INC,US209111FF50,4903000.0,0.013734289292,CONSOLIDATED EDISON COMPANY OF NEW,6822000,0.7187041923189681
2802,37045VAY6,coupon_maturity_name,1.0,1,1,GENERAL MOTORS CO,US37045VAY65,5521000.0,0.018935751781,GENERAL MOTORS CO,5371000,1.0279277601936325
2803,48305QAF0,coupon_maturity_size,0.25,1,0,KAISER FOUNDATION HOSPIT,US48305QAF00,4508000.0,0.011101223888,Kaiser Permanente,7634000,0.590516112129945
2804,126408HV8,coupon_maturity_name,1.0,1,1,CSX CORP,US126408HV80,6868000.0,0.019436371387,CSX CORP,6701000,1.0249216534845544
2805,75513ECL3,coupon_maturity_size,0.0,1,0,RTX CORP,US75513ECL39,5199000.0,0.010810183813,RAYTHEON TECHNOLOGIES CORPORATION,9054000,0.5742213386348575
2806,90261AAJ1,coupon_maturity_size,0.3333333333333333,1,0,UBS AG STAMFORD CT,US90261AAJ16,5510000.0,0.018541568852,UBS AG (STAMFORD BRANCH) MTN,5510000,1.0
2807,29446MAN2,coupon_maturity_name,1.0,1,1,EQUINOR ASA,US29446MAN20,5500000.0,0.018792958913,EQUINOR ASA,5500000,1.0
2808,174610BG9,coupon_maturity_name,1.0,1,1,CITIZENS FINANCIAL GROUP,US174610BG97,6319000.0,0.022876483586,CITIZENS FINANCIAL GROUP INC,5107000,1.2373213236733895
2809,172967MD0,coupon_maturity_name,1.0,1,1,CITIGROUP INC,US172967MD09,500000.0,0.001463259244,CITIGROUP INC,6371000,0.07848061528802386
2810,459200KV2,coupon_maturity_size,0.0,1,0,IBM CORP,US459200KV23,4641000.0,0.013300508359,INTERNATIONAL BUSINESS MACHINES CO,6657000,0.6971608832807571
2811,075887CJ6,coupon_maturity_name,1.0,1,1,BECTON DICKINSON & CO,US075887CJ64,6839000.0,0.021438426814,BECTON DICKINSON AND COMPANY,5897000,1.1597422418178736
2812,822905AV7,coupon_maturity_name,1.0,1,1,SHELL FINANCE US INC,US822905AV71,6942000.0,0.023544151776,SHELL FINANCE US INC,5462000,1.2709630172098132
2813,91324PCD2,coupon_maturity_name,1.0,1,1,UNITEDHEALTH GROUP INC,US91324PCD24,6557000.0,0.018674259753,UNITEDHEALTH GROUP INC,6526000,1.0047502298498314
2814,051473AE6,coupon_maturity_name,0.6666666666666666,1,1,AUGUSTA SPINCO CORPORATI,US051473AE62,5567000.0,0.018619397256,AUGUSTA SPINCO CORP,5488000,1.0143950437317784
2815,49271VAK6,coupon_maturity_name,1.0,1,1,KEURIG DR PEPPER INC,US49271VAK61,6446000.0,0.015392637112,KEURIG DR PEPPER INC,7836000,0.8226135783563042
2816,30231GAY8,coupon_maturity_name,1.0,1,1,EXXON MOBIL CORPORATION,US30231GAY89,11826000.0,0.031595256547,EXXON MOBIL CORP,6965000,1.6979181622397703
2817,23291KAK1,coupon_maturity_name,0.75,1,1,DH EUROPE FINANCE II,US23291KAK16,6385000.0,0.015246434883,DH EUROPE FINANCE II SARL,7960000,0.8021356783919598
2818,341081FQ5,coupon_maturity_name,1.0,1,1,FLORIDA POWER & LIGHT CO,US341081FQ54,9844000.0,0.026056588377,FLORIDA POWER & LIGHT CO,7053000,1.3957181341273217
2819,03027XBK5,coupon_maturity_name,1.0,1,1,AMERICAN TOWER CORP,US03027XBK54,8384000.0,0.017739032157,AMERICAN TOWER CORPORATION,9060000,0.9253863134657837
2820,20030NCG4,coupon_maturity_name,1.0,1,1,COMCAST CORP,US20030NCG43,7712000.0,0.018645363258,COMCAST CORPORATION,8046000,0.9584886900323142
2821,960386AT7,coupon_maturity_name,0.75,1,1,WESTINGHOUSE AIR BRAKE,US960386AT71,5566000.0,0.019111588953,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,5391000,1.0324615099239474
2822,037833DZ0,coupon_maturity_name,1.0,1,1,APPLE INC,US037833DZ01,7432000.0,0.014557003565,APPLE INC,9651000,0.7700756398300694
2823,277432AZ3,coupon_maturity_name,1.0,1,1,EASTMAN CHEMICAL CO,US277432AZ35,5910000.0,0.020023413107,EASTMAN CHEMICAL COMPANY,5323000,1.1102761600601165
2824,925650AE3,coupon_maturity_name,1.0,1,1,VICI PROPERTIES LP,US925650AE39,5497000.0,0.016960016992,VICI PROPERTIES LP,6057000,0.9075449892686148
2825,717081DE0,coupon_maturity_name,1.0,1,1,PFIZER INC,US717081DE02,7486000.0,0.021665453949,PFIZER INC,6494000,1.152756390514321
2826,48305QAG8,coupon_maturity_size,0.25,1,0,KAISER FOUNDATION HOSPIT,US48305QAG82,7787000.0,0.016903135035,Kaiser Permanente,8616000,0.9037836583101208
2827,31620MBU9,coupon_maturity_name,0.6,1,1,FIDELITY NATL INFO SERV,US31620MBU99,6107000.0,0.014953657458,FIDELITY NATIONAL INFORMATION SERV,7540000,0.809946949602122
2828,361841AR0,coupon_maturity_name,0.6666666666666666,1,1,GLP CAPITAL LP / FIN II,US361841AR08,5156000.0,0.015545895816,GLP CAPITAL LP,6127000,0.8415211359556063
2829,539830BS7,coupon_maturity_name,1.0,1,1,LOCKHEED MARTIN CORP,US539830BS75,7314000.0,0.019463155918,LOCKHEED MARTIN CORPORATION,7096000,1.0307215332581736
2830,718172BD0,coupon_maturity_name,0.5,1,1,PHILIP MORRIS INTL INC,US718172BD03,6040000.0,0.018460864116,PHILIP MORRIS INTERNATIONAL INC,6067000,0.9955496950716993
2831,829932AF9,coupon_maturity_name,1.0,1,1,SIXTH STREET LENDING PAR,US829932AF99,5987000.0,0.020213843039,SIXTH STREET LENDING PARTNERS,5427000,1.1031877648793071
2832,59156RBR8,coupon_maturity_name,1.0,1,1,METLIFE INC,US59156RBR84,7223000.0,0.021240624249,METLIFE INC,6372000,1.1335530445699937
2833,14149YBR8,coupon_maturity_name,1.0,1,1,CARDINAL HEALTH INC,US14149YBR80,7691000.0,0.026133561318,CARDINAL HEALTH INC,5359000,1.4351558126516142
2834,20030NBZ3,coupon_maturity_name,1.0,1,1,COMCAST CORP,US20030NBZ33,8255000.0,0.020675610811,COMCAST CORPORATION,7605000,1.0854700854700854
2835,04020EAJ6,coupon_maturity_name,0.6,1,1,ARES STRATEGIC INCOME FU,US04020EAJ64,4052000.0,0.013548230621,ARES STRATEGIC INCOME FUND,5372000,0.7542814594192108
2836,09261HBW6,coupon_maturity_name,0.75,1,1,BLACKSTONE PRIVATE CRE,US09261HBW60,6015000.0,0.019403801923,BLACKSTONE PRIVATE CREDIT FUND,5622000,1.0699039487726787
2837,913017CJ6,coupon_maturity_size,0.0,1,0,RTX CORP,US913017CJ69,7499000.0,0.019299320675,RAYTHEON TECHNOLOGIES CORPORATION,7222000,1.0383550263085017
2838,92343VGP3,coupon_maturity_name,1.0,1,1,VERIZON COMMUNICATIONS,US92343VGP31,8837000.0,0.022002315538,VERIZON COMMUNICATIONS INC,7540000,1.1720159151193634
2839,882508BG8,coupon_maturity_name,1.0,1,1,TEXAS INSTRUMENTS INC,US882508BG82,5902000.0,0.018560398433,TEXAS INSTRUMENTS INC,5752000,1.0260778859527122
2840,89153VAU3,coupon_maturity_name,0.5,1,1,TOTALENERGIES CAP INTL,US89153VAU35,7013000.0,0.01690186967,TOTALENERGIES CAPITAL INTERNATIONA,7856000,0.892693482688391
2841,718172AW9,coupon_maturity_name,0.5,1,1,PHILIP MORRIS INTL INC,US718172AW92,5111000.0,0.014397827334,PHILIP MORRIS INTERNATIONAL INC,6475000,0.7893436293436293
2842,69349LAS7,coupon_maturity_name,1.0,1,1,PNC BANK NA,US69349LAS79,6065000.0,0.019165825046,PNC BANK NA,5726000,1.0592036325532659
2843,10112RBJ2,coupon_maturity_name,1.0,1,1,BOSTON PROPERTIES LP,US10112RBJ23,7907000.0,0.026840489665,BOSTON PROPERTIES LP,5376000,1.470796130952381
2844,126408HF3,coupon_maturity_name,1.0,1,1,CSX CORP,US126408HF31,5380000.0,0.014021786574,CSX CORP,7062000,0.7618238459359955
2845,00846UAN1,coupon_maturity_name,1.0,1,1,AGILENT TECHNOLOGIES INC,US00846UAN19,6036000.0,0.018166561141,AGILENT TECHNOLOGIES INC,5976000,1.0100401606425702
2846,03040WBA2,coupon_maturity_name,0.75,1,1,AMERICAN WATER CAPITAL C,US03040WBA27,3675000.0,0.012113809145,AMERICAN WATER CAPITAL CORP,5470000,0.6718464351005484
2847,913903AW0,coupon_maturity_name,0.5,1,1,UNIVERSAL HEALTH SVCS,US913903AW04,3881000.0,0.011769780546,UNIVERSAL HEALTH SERVICES INC,5946000,0.6527077026572485
2848,744448DA6,coupon_maturity_name,0.75,1,1,PUBLIC SERVICE COLORADO,US744448DA65,5378000.0,0.017856569502,PUBLIC SERVICE COMPANY OF COLORADO,5539000,0.9709333814768009
2849,67077MAU2,coupon_maturity_name,1.0,1,1,NUTRIEN LTD,US67077MAU27,4943000.0,0.014836895361,NUTRIEN LTD,6108000,0.8092665356908972
2850,02209SBP7,coupon_maturity_name,1.0,1,1,ALTRIA GROUP INC,US02209SBP74,6337000.0,0.014997997777,ALTRIA GROUP INC,7800000,0.8124358974358974
2851,57636QAL8,coupon_maturity_name,1.0,1,1,MASTERCARD INC,US57636QAL86,8225000.0,0.020696244257,MASTERCARD INC,7325000,1.1228668941979523
2852,437076CG5,coupon_maturity_name,1.0,1,1,HOME DEPOT INC,US437076CG52,6446000.0,0.012197632134,HOME DEPOT INC,9624000,0.6697838736492103
